comb,ncell,h,Udof,Kdof,Pdof,pdof,xdof,lambda,fem_Ul2err,fem_Kl2err,fem_Pl2err,fem_Phdiverr,fem_pl2err
P̄0d1d1P1,144,0.11207090926027129,288,936,864,91,2179,3.0,0.052350460373328966,0.01244796593968977,0.013794483658436583,0.013794483658436583,0.0007727954793625367
P̄0d1d1P1,324,0.07477328068292126,648,2052,1944,190,4834,3.0,0.03490872260731686,0.0055353043329575274,0.006142982019775791,0.006142982019775791,0.0003332214974724069
P̄0d1d1P1,784,0.04808644582265773,1568,4872,4704,435,11579,3.0,0.02244386330814433,0.002286401345416839,0.0025364263554902475,0.0025364263554902475,0.0001274981157255884
P̄0d1d1P1,1600,0.03366501536969304,3200,9840,9600,861,23501,3.0,0.015711343685052184,0.0011196413350574046,0.001241567176507345,0.001241567176507345,5.894457573003494e-5
P̄0d1d1P1,3600,0.022444946091947984,7200,21960,21600,1891,52651,3.0,0.01047445668156852,0.0004972859846150685,0.000551403457826314,0.0005514034578263142,2.5146786591000864e-5
P̄0d1d1P1,8100,0.014963772217943561,16200,49140,48600,4186,118126,3.0,0.006983038551964024,0.00022089679312989034,0.0002449769089642855,0.0002449769089642969,1.0954201277355982e-5
P̄1d2d2P2,144,0.11207090926027129,864,2268,2160,325,5617,3.0,0.0017097380689663384,0.0005951920283155318,0.0012187611023416387,0.0012187611023416387,0.00027628565096551275
P̄1d2d2P2,324,0.07477328068292126,1944,5022,4860,703,12529,3.0,0.0007602094346151364,0.00017472305523517004,0.0003247291204786011,0.0003247291204786011,6.583197303421265e-5
P̄1d2d2P2,784,0.04808644582265773,4704,12012,11760,1653,30129,3.0,0.00031423163066800333,4.6073414772693456e-5,7.802480673846017e-5,7.802480673846017e-5,1.330784439314654e-5
P̄1d2d2P2,1600,0.03366501536969304,9600,24360,24000,3321,61281,3.0,0.00015398468396273792,1.5738815797763047e-5,2.5355009491629932e-5,2.5355009491629932e-5,3.7443511629562885e-6
P̄1d2d2P2,3600,0.022444946091947984,21600,54540,54000,7381,137521,3.0,6.844029234859138e-5,4.648726885314304e-6,7.177829317754734e-6,7.177829317754734e-6,9.092306831034035e-7
P̄1d2d2P2,8100,0.014963772217943561,48600,122310,121500,16471,308881,3.0,3.041843231990959e-5,1.3745581476690527e-6,2.0423872276562566e-6,2.0423872276562583e-6,2.2129638100800746e-7
P̄0d1d1P1(corr),144,0.11207090926027129,576,936,864,91,2467,3.0,0.00012781213373464257,0.01244796593968977,0.013794483658436583,0.013794483658436583,0.0007727954793625367
