comb,meshtype,meshidx,ncell,h,Udof,Kdof,Pdof,pdof,xdof,lambda,fem_Ul2err,fem_Kl2err,fem_Pl2err,fem_Phdiverr,fem_pl2err
P̄0d1d1P1,delaunay,400,123,0.22277403682550995,369,2529,2061,46,5005,3.0,0.06540108081527575,0.1413813551689457,0.2929423582823164,0.2929423582823164,0.026908263087276525
P̄0d1d1P1,delaunay,280,309,0.18630513653542727,927,6210,5274,99,12510,3.0,0.048313564226939616,0.10386512240347569,0.1886337704572191,0.1886337704572191,0.014149591883999434
P̄0d1d1P1,delaunay,170,802,0.16024281178082353,2406,16254,13590,258,32508,3.0,0.03809728631530443,0.05116165139449834,0.1033926283531755,0.1033926283531755,0.008506438007120337
P̄0d1d1P1,delaunay,125,1742,0.12190392003305656,5226,34659,29898,504,70287,3.0,0.02852436423690165,0.027996151236349996,0.05896388290178679,0.05896388290178679,0.00478696662290613
P̄0d1d1P1,delaunay,088,3823,0.0811608034238329,11469,74601,66069,1005,153144,3.0,0.020489384764833262,0.01262301847976977,0.026684842888350813,0.026684842888350813,0.001995451442028748
P̄1d2d2P2,delaunay,400,123,0.22277403682550995,1476,7272,6336,249,15333,3.0,0.008209082618020457,0.047175226279435774,0.07817608218445742,0.07817608218445742,0.006980392359537399
P̄1d2d2P2,delaunay,280,309,0.18630513653542727,3708,17982,16110,578,38378,3.0,0.00487610086794661,0.021420596249118556,0.04398167823784328,0.04398167823784332,0.005042624469442189
P̄1d2d2P2,delaunay,170,802,0.16024281178082353,9624,46944,41616,1519,99703,3.0,0.003119180889158418,0.008295810193018218,0.020800027654172763,0.020800027654172774,0.002562376601698539
P̄1d2d2P2,delaunay,125,1742,0.12190392003305656,20904,100674,91152,3116,215846,3.0,0.0017169390451536653,0.0062495968729207,0.0111172520536181,0.011117252053618106,0.0012970438503895816
P̄1d2d2P2,delaunay,088,3823,0.0811608034238329,45876,218016,200952,6475,471319,3.0,0.0008192000693343325,0.0015252238110165088,0.0025158496860978813,0.0025158496860978813,0.0002382999636043485
P̄0d1d1P1(corr),delaunay,400,123,0.22277403682550995,607,2529,2061,46,5243,3.0,0.005118593399744577,0.1413813551689457,0.2929423582823164,0.2929423582823164,0.026908263087276525
P̄0d1d1P1(corr),delaunay,280,309,0.18630513653542727,1454,6210,5274,99,13037,3.0,0.002607057657429154,0.10386512240347569,0.1886337704572191,0.1886337704572191,0.014149591883999434
P̄0d1d1P1(corr),delaunay,170,802,0.16024281178082353,3847,16254,13590,258,33949,3.0,0.0011203118074503957,0.05116165139449834,0.1033926283531755,0.1033926283531755,0.008506438007120337
P̄0d1d1P1(corr),delaunay,125,1742,0.12190392003305656,8035,34659,29898,504,73096,3.0,0.00043637822050393473,0.027996151236349996,0.05896388290178679,0.05896388290178679,0.00478696662290613
P̄0d1d1P1(corr),delaunay,088,3823,0.0811608034238329,17285,74601,66069,1005,158960,3.0,0.00012251988106668909,0.01262301847976977,0.026684842888350813,0.026684842888350813,0.001995451442028748
P̄1d2d2P2(corr),delaunay,400,123,0.22277403682550995,1910,7272,6336,249,15767,3.0,0.0007172654627477704,0.047175226279435774,0.07817608218445742,0.07817608218445742,0.006980392359537399
P̄1d2d2P2(corr),delaunay,280,309,0.18630513653542727,4643,17982,16110,578,39313,3.0,0.000322849795473901,0.021420596249118556,0.04398167823784328,0.04398167823784332,0.005042624469442189
P̄1d2d2P2(corr),delaunay,170,802,0.16024281178082353,12209,46944,41616,1519,102288,3.0,0.00011819075277918011,0.008295810193018218,0.020800027654172763,0.020800027654172774,0.002562376601698539
P̄1d2d2P2(corr),delaunay,125,1742,0.12190392003305656,25847,100674,91152,3116,220789,3.0,3.3500795045460884e-5,0.0062495968729207,0.0111172520536181,0.011117252053618106,0.0012970438503895816
P̄1d2d2P2(corr),delaunay,088,3823,0.0811608034238329,55973,218016,200952,6475,481416,3.0,6.588803912144785e-6,0.0015252238110165088,0.0025158496860978813,0.0025158496860978813,0.0002382999636043485
