comb,meshtype,meshidx,ncell,h,Udof,Kdof,Pdof,pdof,xdof,f,UxA,UyA,Ul2norm,Kl2norm,Pl2norm,Phdivnorm,pl2norm
P1c1d̄0P̄0,cart,6,72,8.230579055261915,84,480,240,72,876,0.2,-13.449996747452909,14.0620952165988,256.14532368551716,15.589582521114083,13.21951311452076,13.936428866792685,36.587522212458836
P1c1d̄0P̄0,cart,6,72,8.230579055261915,84,480,240,72,876,0.4,-22.20269107945697,21.29512027119241,438.8918463300431,24.858732320995706,21.187757375307296,22.359774491267295,35.25214179856701
P1c1d̄0P̄0,cart,12,288,4.115289527630959,312,1824,912,288,3336,0.2,-13.571856321461508,14.1251827012747,256.85182260295767,15.73397102616608,13.037096672445772,15.20269656835952,36.57307229222225
P1c1d̄0P̄0,cart,12,288,4.115289527630959,312,1824,912,288,3336,0.4,-22.239252916075817,21.399594519707154,440.33117490112824,25.010434340790304,20.985120310425042,24.76877712677346,35.21163568352697
P1c1d̄0P̄0,cart,24,1152,2.0576447638154796,1200,7104,3552,1152,13008,0.2,-13.627067129390948,14.15236864643454,257.44487695531063,15.779351857096994,12.900397783690407,19.17859031710953,36.560706257300154
P1c1d̄0P̄0,cart,24,1152,2.0576447638154796,1200,7104,3552,1152,13008,0.4,-22.29657155200134,21.458525511765888,441.8771065982325,25.08040736934872,20.83069885361157,32.026651312489996,35.17553260786037
P1c1d̄0P̄0,cart,48,4608,1.0288223819077418,4704,28032,14016,4608,51360,0.2,-13.661973826861734,14.165059009297533,257.88254919942693,15.799438013200113,12.844800733541435,30.013042173878215,36.55214773238328
P1c1d̄0P̄0,cart,48,4608,1.0288223819077418,4704,28032,14016,4608,51360,0.4,-22.375100018775914,21.503351228960923,443.64814952935404,25.150889038616427,21.083018535586657,52.06430554641402,35.14674611960043
P2c2d̄1P̄1,cart,6,72,8.230579055261915,312,1152,768,216,2448,0.2,-13.55747389562043,14.132519940892601,256.8623127941189,15.766847516179217,12.351582702511,12.487938538174223,36.57829874035719
P2c2d̄1P̄1,cart,6,72,8.230579055261915,312,1152,768,216,2448,0.4,-22.211837786355655,21.43962889482218,440.68726783214476,25.05507606276461,19.796307189371145,20.045717548428204,35.223397743595704
P2c2d̄1P̄1,cart,12,288,4.115289527630959,1200,4464,2976,864,9504,0.2,-13.627148393541503,14.150557214445376,257.45639870217065,15.786546887341856,12.303475152809336,12.54145391002559,36.562295696573145
P2c2d̄1P̄1,cart,12,288,4.115289527630959,1200,4464,2976,864,9504,0.4,-22.291087427785254,21.464201991849993,441.93950525463276,25.085789935740475,19.750453217383836,20.344459668193615,35.18156629269632
P2c2d̄1P̄1,cart,24,1152,2.0576447638154796,4704,17568,11712,3456,37440,0.2,-13.663517133217367,14.162526275335184,257.8832695507965,15.80061410464152,12.287035831310972,12.875637957847283,36.55284485273511
P2c2d̄1P̄1,cart,24,1152,2.0576447638154796,4704,17568,11712,3456,37440,0.4,-22.35712058902944,21.496435332005596,443.34434363606556,25.128447253909645,19.786481025694727,22.49976585608687,35.14913821939441
P2c2d̄1P̄1,cart,48,4608,1.0288223819077418,18624,69696,46464,13824,148608,0.2,-13.684600521551745,14.171622439960942,258.2074820853124,15.81173701486509,12.283609032460992,14.15243609565794,36.54685920195429
P̄0d1d1P1,cart,6,72,8.230579055261915,144,480,408,49,1081,0.2,-12.040990839638033,12.952510347574599,261.5155078372304,15.994960030448759,12.111616812386151,12.111616812386151,36.440261809669146
P̄0d1d1P1,cart,6,72,8.230579055261915,144,480,408,49,1081,0.4,-20.080402000929354,20.0879584431507,450.6913247870261,25.378590986012465,19.314885390712874,19.314885390712874,34.875791117822715
P̄0d1d1P1,cart,12,288,4.115289527630959,576,1824,1680,169,4249,0.2,-12.801065318960049,13.549137556398344,260.67491285690994,15.909182977591502,12.172006909329586,12.172006909329586,36.48457086888381
P̄0d1d1P1,cart,12,288,4.115289527630959,576,1824,1680,169,4249,0.4,-21.24738532809252,20.835088701371966,449.9238430904457,25.339785797525774,19.44361260033429,19.44361260033429,34.94858194063028
P̄0d1d1P1,cart,24,1152,2.0576447638154796,2304,7104,6816,625,16849,0.2,-13.227056122613083,13.865329929205227,260.0195921695726,15.876857907234228,12.209377111080553,12.209377111080553,36.507705445417706
P̄0d1d1P1,cart,24,1152,2.0576447638154796,2304,7104,6816,625,16849,0.4,-21.95954550269828,21.27351874839344,451.3454434149902,25.405753965165815,19.595315097313875,19.595315097313875,34.974767895781746
P̄0d1d1P1,cart,48,4608,1.0288223819077418,9216,28032,27456,2401,67105,0.2,-13.464070393243253,14.031993805504191,259.70506251978895,15.865291038655206,12.235119627570057,12.235119627570057,36.518522785866985
