comb,meshtype,meshidx,ncell,h,Udof,Kdof,Pdof,pdof,xdof,f,UxA,UyA,UzA,Ul2norm,Kl2norm,Pl2norm,Phdivnorm,pl2norm
MixedNedelec,delaunay,226,4468,2.221010645333638,21978,81126,29886,4468,137458,0.2,-16.527405257698604,15.863531718575771,0.0,673.7967671720694,41.5923902535531,25.655282581510907,26.462002930666426,82.58858530260528
MixedNedelec,delaunay,226,4468,2.221010645333638,21978,81126,29886,4468,137458,0.4,-25.12367023701332,23.148148473718397,0.0,1094.5260059210202,62.333613609515446,40.67200471911068,42.813439055358224,80.14161045254548
MixedNedelec,delaunay,271,2923,2.709061658558598,14497,53367,19635,2923,90422,0.2,-16.526162192927334,15.861343829138852,0.0,673.5803339810784,41.58804099495438,25.713423853886407,26.901391339889653,82.59541672118208
MixedNedelec,delaunay,271,2923,2.709061658558598,14497,53367,19635,2923,90422,0.4,-25.11497553738793,23.139831577210625,0.0,1093.8197166416537,62.31463875870832,40.79383520242875,43.83332824679727,80.17022286498343
MixedNedelec,delaunay,319,1879,2.776708219378857,9567,34923,12819,1879,59188,0.2,-16.51658330640919,15.858370058704253,0.0,673.4748971005199,41.58303394122261,25.634248874122477,26.00764825849096,82.59002023928912
MixedNedelec,delaunay,319,1879,2.776708219378857,9567,34923,12819,1879,59188,0.4,-25.09557189744066,23.13109798451705,0.0,1092.9840725517545,62.28706651983101,40.5589516981732,41.40042740770777,80.15191983005103
MixedNedelec,delaunay,410,1131,3.2713674608453958,5749,21093,7734,1131,35707,0.2,-16.50263149085442,15.86371276567382,0.0,673.2906036727843,41.579460191491634,25.703985682531364,26.19261239828789,82.59775035208497
MixedNedelec,delaunay,410,1131,3.2713674608453958,5749,21093,7734,1131,35707,0.4,-25.08839238434021,23.135868699769105,0.0,1092.8626024219404,62.28242226246442,40.6597108846175,41.69380121811353,80.16643354946059
MixedNedelec,delaunay,545,751,3.581597109147861,3831,14049,5136,751,23767,0.2,-16.505484013612957,15.86662100337048,0.0,673.2461418833066,41.58687960097089,25.75965397030411,26.19920635328405,82.60284008634645
MixedNedelec,delaunay,545,751,3.581597109147861,3831,14049,5136,751,23767,0.4,-25.094301447709327,23.13613490328821,0.0,1092.774176674007,62.29020883571091,40.75512992100294,41.71635194076937,80.18114451694
MixedNedelec,delaunay,723,458,4.305579014066299,2338,8598,3132,458,14526,0.2,-16.4753459869289,15.857510691394012,0.0,672.4062287723915,41.57338626807472,38.42950407651878,66.74506112643343,83.44919405809087
MixedNedelec,delaunay,723,458,4.305579014066299,2338,8598,3132,458,14526,0.4,-25.056330591856053,23.114555286150853,0.0,1090.5916173341643,62.24461683829683,55.11127187280373,89.12363956421757,81.74306623928278
MixedNedelec,delaunay,999,290,5.188293728151775,1504,5490,1992,290,9276,0.2,-16.426184773641413,15.848262341512251,0.0,671.0787098538062,41.53009241893734,60.06338553565799,100.26191693732574,85.38539771923476
MixedNedelec,delaunay,999,290,5.188293728151775,1504,5490,1992,290,9276,0.4,-25.006154692864445,23.09634189130238,0.0,1088.1525823896077,62.17245868285431,89.07186521471414,147.34599090345588,86.15344427787787
P̄0d1d1P1,delaunay,226,4468,2.221010645333638,13404,89658,74604,1326,178992,0.2,-15.915450053912354,15.927219161258517,0.0323698944024175,676.5251405044878,41.68677135920641,25.50592679497501,25.50592679497501,82.54551454948665
P̄0d1d1P1,delaunay,226,4468,2.221010645333638,13404,89658,74604,1326,178992,0.4,-24.49123336832264,23.336459789153054,0.0709445323859396,1102.5822921057268,62.602452431115694,40.51105761923409,40.51105761923409,79.99661496398849
P̄0d1d1P1,delaunay,271,2923,2.709061658558598,8769,58905,48648,889,117211,0.2,-15.927083647214928,15.506738864431938,0.0387865302278223,677.0817788740292,41.70636196132843,25.46823299694345,25.46823299694345,82.53495673232631
P̄0d1d1P1,delaunay,271,2923,2.709061658558598,8769,58905,48648,889,117211,0.4,-24.43742649227856,22.790906450145155,0.0913414504312449,1103.4579355114026,62.6167059803855,40.3855618822268,40.3855618822268,79.97014686711272
P̄0d1d1P1,delaunay,319,1879,2.776708219378857,5637,38457,30894,609,75597,0.2,-15.274981433866545,15.465655208552851,0.0091275213949691,677.5571200997024,41.72377474798576,25.440406442218595,25.440406442218595,82.52843233911842
P̄0d1d1P1,delaunay,319,1879,2.776708219378857,5637,38457,30894,609,75597,0.4,-23.616574681589874,22.780072875675685,0.0201714358384729,1102.578256903087,62.59461068854891,40.28559573688946,40.28559573688946,79.97993824545618
P̄0d1d1P1,delaunay,410,1131,3.2713674608453958,3393,23202,18600,373,45568,0.2,-15.539292737694048,15.948445435724274,0.0530957213584212,678.193178874325,41.75314063519461,25.40692312211294,25.40692312211294,82.51675072064864
