comb,meshtype,meshidx,ncell,h,Udof,Kdof,Pdof,pdof,xdof,u,Ul2norm,Kl2norm,Pl2norm,Phdivnorm,pl2norm
MixedNedelec,delaunay,42,4131,0.0613002497849203,18301,72855,26955,4131,122242,0.2,0.0511744229193708,0.1713258578460743,0.3593360026272489,6.5875047857511415,0.1961396254274968
MixedNedelec,delaunay,42,4131,0.0613002497849203,18301,72855,26955,4131,122242,0.5,0.1240567760953473,0.3908884742637292,0.7139091287912323,6.765767800221823,0.1253428692412002
MixedNedelec,delaunay,48,3167,0.0682077028995052,14262,56679,20913,3167,95021,0.2,0.0511667680052447,0.1713802574700729,0.3581875429273129,3.761401590800744,0.1957434055329669
MixedNedelec,delaunay,48,3167,0.0682077028995052,14262,56679,20913,3167,95021,0.5,0.1240225184019732,0.3909704021502299,0.7149557951839055,8.021043004281779,0.1265778089530044
MixedNedelec,delaunay,56,2338,0.0751884354827717,10568,42060,15507,2338,70473,0.2,0.0511559100180149,0.1714330733572939,0.3582454168275276,3.3619213874842204,0.1958180308621652
MixedNedelec,delaunay,56,2338,0.0751884354827717,10568,42060,15507,2338,70473,0.5,0.123974333723289,0.3910454559072765,0.7153875718914128,7.693224328323424,0.1266399327517507
MixedNedelec,delaunay,62,1768,0.0834068984776279,8044,31848,11733,1768,53393,0.2,0.0511519970631836,0.1714454128079705,0.3596267119565882,4.874543170317167,0.1961799603492951
MixedNedelec,delaunay,62,1768,0.0834068984776279,8044,31848,11733,1768,53393,0.5,0.1239730948290384,0.3910404320927831,0.7187718354422383,10.215016615698833,0.1293008901386885
MixedNedelec,delaunay,70,1357,0.0896016484146825,6195,24561,9036,1357,41149,0.2,0.0511332422988978,0.1715650248154489,0.3630405720679205,7.528237908509824,0.1970179075561252
MixedNedelec,delaunay,70,1357,0.0896016484146825,6195,24561,9036,1357,41149,0.5,0.1238993358701443,0.3912652322564189,0.7226414780592317,12.9079978909987,0.1329021416378827
MixedNedelec,delaunay,81,943,0.109278772927971,4304,17115,6294,943,28656,0.2,0.051143489545981,0.1717241123177771,0.3596743378582112,3.1971785864129605,0.1962120388676242
MixedNedelec,delaunay,81,943,0.109278772927971,4304,17115,6294,943,28656,0.5,0.1238886009255261,0.3915137036795893,0.7214993412693871,8.821430347860256,0.1314265916836194
MixedNedelec,delaunay,99,742,0.1301474808239426,3416,13632,4998,742,22788,0.2,0.0511134771321656,0.1721854500476201,0.3713789582021523,6.633914579412653,0.1991846469813718
MixedNedelec,delaunay,99,742,0.1301474808239426,3416,13632,4998,742,22788,0.5,0.1237862911752743,0.3926465377282389,0.7407871493246988,13.194661954357214,0.1460809478135633
P̄0d1d1P1,delaunay,42,4131,0.0613002497849203,12393,80865,71784,1093,166135,0.2,0.0511882980786156,0.1714225981549463,0.3573894044662253,0.3573894044662253,0.1954778577255507
P̄0d1d1P1,delaunay,42,4131,0.0613002497849203,12393,80865,71784,1093,166135,0.5,0.1241485201137028,0.3911673533656573,0.7136015899237641,0.7136015899237641,0.1254077851700805
P̄0d1d1P1,delaunay,48,3167,0.0682077028995052,9501,62739,54765,893,127898,0.2,0.0511817523802934,0.1714830652922997,0.3575202082837193,0.3575202082837193,0.1954600691350579
P̄0d1d1P1,delaunay,48,3167,0.0682077028995052,9501,62739,54765,893,127898,0.5,0.1241272917179476,0.3912968461498264,0.7139133394002473,0.7139133394002473,0.1254100148366836
P̄0d1d1P1,delaunay,56,2338,0.0751884354827717,7014,46521,40356,673,94564,0.2,0.0511812461857103,0.1715661440503651,0.3576076802737789,0.3576076802737789,0.1954963815597876
P̄0d1d1P1,delaunay,56,2338,0.0751884354827717,7014,46521,40356,673,94564,0.5,0.124118497674617,0.3914230360293083,0.7141847787395121,0.7141847787395121,0.1255511399249006
P̄0d1d1P1,delaunay,62,1768,0.0834068984776279,5304,35199,30438,514,71455,0.2,0.0511678004324517,0.1715771344578434,0.3575306119820557,0.3575306119820557,0.1955100497545789
P̄0d1d1P1,delaunay,62,1768,0.0834068984776279,5304,35199,30438,514,71455,0.5,0.1240797345658844,0.3913960648250164,0.7137898338469549,0.7137898338469549,0.1252590781340471
P̄0d1d1P1,delaunay,70,1357,0.0896016484146825,4071,27108,23346,404,54929,0.2,0.0511446632715122,0.1717138907334368,0.3577911942899024,0.3577911942899024,0.195442358133232
P̄0d1d1P1,delaunay,70,1357,0.0896016484146825,4071,27108,23346,404,54929,0.5,0.1240142367944781,0.3916739391618766,0.714565814486412,0.714565814486412,0.1254356074962854
P̄0d1d1P1,delaunay,81,943,0.109278772927971,2829,18882,16209,284,38204,0.2,0.0511562076588054,0.1719200892930248,0.3577041133208142,0.3577041133208142,0.1956635263110095
P̄0d1d1P1,delaunay,81,943,0.109278772927971,2829,18882,16209,284,38204,0.5,0.1240323592735848,0.3919990793187438,0.714849849796409,0.714849849796409,0.1254735702894454
P̄0d1d1P1,delaunay,99,742,0.1301474808239426,2226,14994,12726,236,30182,0.2,0.0511049176772366,0.1723586419138,0.3594014907498614,0.3594014907498614,0.1950984008978153
P̄0d1d1P1,delaunay,99,742,0.1301474808239426,2226,14994,12726,236,30182,0.5,0.1238582204263088,0.3930282024940122,0.7181166533979403,0.7181166533979403,0.1258877683454706
P̄1d2d2P2,delaunay,45,3535,0.064216505656733,42420,202842,186084,6130,437476,0.2,0.0512285910158241,0.1713688526401877,0.3575770688187368,0.3575770688187368,0.1954396091860814
